Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.33301360146722E-06,-0.00616408830371303,0.0516815599396511,0,0,0,13.8420238188937,0.0402209002946215,1.33023985236199E-05,-7.5728592175057E-07,0.0320808729564654,0.000589928926648181,0.0593524877670578,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/base_link.STL,,GBT-C12A.J0-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.71267874760478E-05,0.0057888896498076,0.10293432736084,0,0,0,31.1501990144652,0.154836982001998,5.762941462276E-05,1.01751815070728E-07,0.149492778870936,0.000121771535896935,0.0979860661669849,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link1.STL,,GBT-C12A.J1-1,坐标系1,基准轴1,joint1,revolute,0,0,0.094,0,0,0,base_link,0,0,1,100,1,-6.2832,6.2832,,,,,,,,
link2,0.195486783957097,1.35127910679544E-05,0.102928960009867,0,0,0,77.3799588228002,0.258537864361677,0.000340011020527351,-0.00642832949026279,2.98579493520843,3.75616744324944E-05,2.90555358847153,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link2.STL,,GBT-C16A.J2-J3-1,坐标系2,基准轴2,joint2,revolute,0,0.082,0.102,-1.5708,0,0,link1,0,0,-1,100,1,-1.4835,4.6251,,,,,,,,
link3,-0.178416784377752,3.57162691924651E-06,0.060338121448731,0,0,0,31.0838905830824,0.051261740846832,1.64560898355033E-05,0.021314063622931,0.671544701475308,-2.20352566173481E-06,0.660420893373503,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link3.STL,,GBT-C16A.J4-1,坐标系3,基准轴3,joint3,revolute,0.48,0,0.018,-3.1416,0,3.1416,link2,0,0,1,100,1,-2.8798,2.8798,,,,,,,,
link4,6.50176670324853E-06,2.84501828613226E-05,0.0515242101702979,0,0,0,8.31372682014782,0.0191355192345629,1.55540435454683E-07,3.17241145505299E-07,0.0100182469096591,-1.11547225614069E-05,0.0179431883590845,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link4.STL,,GBT-C12A.J5-1,坐标系4,基准轴4,joint4,revolute,-0.37,0,-0.0098,-3.1416,0,3.1416,link3,0,0,-1,100,0,-1.4835,4.6251,,,,,,,,
link5,-6.92495234433377E-06,-3.1252560565298E-06,-0.0515254760378946,0,0,0,8.3160322765612,0.0191572064909686,-2.8320293401359E-07,4.27186848686796E-07,0.0100128626777276,9.07663155425601E-06,0.017964291723577,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link5.STL,,GBT-C12A.J6-1,坐标系5,基准轴5,joint5,revolute,0,0.0738,0.057,1.5708,0,0,link4,0,0,1,100,1,-6.2832,6.2832,,,,,,,,
link6,1.44604180851715E-08,0.000134230776969571,0.0189327850855688,0,0,0,1.92416514196933,0.00120427681943017,1.95743889305468E-09,1.77375460507358E-09,0.00121783787068554,1.15549591269221E-06,0.00191743883679376,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://C16A_URDF.SLDASM/meshes/link6.STL,,GBT-C12A.JM-1,坐标系6,基准轴6,joint6,revolute,0,0.0738,-0.057,-1.5708,0,0,link5,0,0,1,100,1,-6.2832,6.2832,,,,,,,,
