Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-5.18937271871501E-06,-0.00981292786589054,0.0491107475197807,0,0,0,9.16039502558691,0.0419459273106292,1.03238231774288E-05,-1.20730153954149E-06,0.0160794902925854,-0.00415210475211165,0.0465551463891972,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/base_link.STL,,GBT-C5A-850-J0-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.1533E-07,0.0039849,0.082573,0,0,0,15.175,0.047238,1.1824E-07,3.158E-07,0.045941,-9.9968E-05,0.029087,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link1.STL,,GBT-C5A-850-J1-1,坐标系1,基准轴1,joint1,revolute,0,0,0.094,0,0,0,base_link,0,0,-1,100,1,-6.2832,6.2832,,,,,,,,
link2,0.21249,-1.5735E-06,0.083052,0,0,0,45.747,0.10914,4.6633E-05,2.2941E-06,1.56,3.3978E-06,1.5237,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link2.STL,,GBT-C5A-850-J2-1,坐标系2,基准轴2,joint2,revolute,0,0.063,0.084,-1.5708,0,0,link1,0,0,-1,100,1,-1.4835,4.6251,,,,,,,,
link3,-0.17704,2.1965E-06,0.057289,0,0,0,25.388,0.034609,2.0726E-06,0.017944,0.57881,-1.6149E-06,0.57165,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link3.STL,,GBT-C5A-850-J3-1,坐标系3,基准轴3,joint3,revolute,0.425,0,0,-3.1416,0,3.1416,link2,0,0,1,100,1,-2.81,2.81,,,,,,,,
link4,1.4636E-07,0.0036936,0.046819,0,0,0,5.9625,0.01117,6.5877E-08,-9.2842E-08,0.0057359,-0.00011921,0.010395,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link4.STL,,GBT-C5A-850-J4-1,坐标系4,基准轴4,joint4,revolute,-0.385,0,-0.0083,-3.1416,0,3.1416,link3,0,0,1,100,1,-1.4835,4.6251,,,,,,,,
link5,2.8003E-07,-0.00083604,-0.04715,0,0,0,6.3692,0.013244,1.2468E-07,-2.2495E-08,0.0060649,-1.9528E-05,0.012458,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link5.STL,,GBT-C5A-850-J5-1,坐标系5,基准轴5,joint5,revolute,0,0.0713,0.052,1.5708,0,0,link4,0,0,-1,100,1,-6.2832,6.2832,,,,,,,,
link6,1.3558E-09,0.00017433,0.012497,0,0,0,1.0139,0.00046196,1.0902E-10,2.167E-10,0.00046763,-6.5718E-08,0.00080289,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://GBT_C5A_V2_URDF/meshes/link6.STL,,GBT-C5A-850-J6-1,坐标系6,基准轴6,joint6,revolute,0,0.0713,-0.052,-1.5708,0,0,link5,0,0,1,100,1,-6.2832,6.2832,,,,,,,,
