Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.333E-06,-0.0061641,0.051682,0,0,0,13.842,0.040221,1.3302E-05,-7.5729E-07,0.032081,0.00058993,0.059352,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/base_link.STL,,GBT-C12A.J0-1,坐标系0,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.7127E-05,0.0057889,0.10293,0,0,0,31.15,0.15484,5.7629E-05,1.0175E-07,0.14949,0.00012177,0.097986,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link1.STL,,GBT-C12A.J1-1,坐标系1,基准轴1,joint1,revolute,0,0,0.094,0,0,0,base_link,0,0,1,100,1,-6.283185307179,6.283185307179,,,,,,,,
link2,0.25627,1.1532E-05,0.10281,0,0,0,88.756,0.27835,0.00048229,-0.0077364,5.0986,3.0613E-05,5.0184,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link2.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link2.STL,,GBT-C12A.J2-J3-1,坐标系2,基准轴2,joint2,revolute,0,0.082,0.102,-1.5708,0,0,link1,0,0,1,100,1,-1.483529864195,4.625122517784,,,,,,,,
link3,-0.27117,3.4432E-06,0.061195,0,0,0,40.597,0.060991,2.6089E-05,0.031846,1.7475,-3.0307E-06,1.7363,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link3.STL,,GBT-C12A.J4-1,坐标系3,基准轴3,joint3,revolute,0.6125,0,0.018,-3.1416,0,3.1416,link2,0,0,1,100,1,-2.87979326579,2.87979326579,,,,,,,,
link4,6.5018E-06,2.845E-05,0.051524,0,0,0,8.3137,0.019136,1.5554E-07,3.1721E-07,0.010018,-1.1155E-05,0.017943,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link4.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link4.STL,,GBT-C12A.J5-1,坐标系4,基准轴4,joint4,revolute,-0.5605,0,-0.0098,-3.1416,0,3.1416,link3,0,0,-1,100,1,-1.483529864195,4.625122517784,,,,,,,,
link5,-6.925E-06,-3.1254E-06,-0.051525,0,0,0,8.316,0.019157,-2.8321E-07,4.2716E-07,0.010013,9.0766E-06,0.017964,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link5.STL,,GBT-C12A.J6-1,坐标系5,基准轴5,joint5,revolute,0,0.0738,0.057,1.5708,0,0,link4,0,0,1,100,1,-6.283185307179,6.283185307179,,,,,,,,
link6,1.446E-08,0.00013423,0.018933,0,0,0,1.9242,0.0012043,1.9574E-09,1.7738E-09,0.0012178,1.1555E-06,0.0019174,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link6.STL,1,1,1,1,0,0,0,0,0,0,package://C12A_URDF.SLDASM/meshes/link6.STL,,GBT-C12A.JM-1,坐标系6,基准轴6,joint6,revolute,0,0.0738,-0.057,-1.5708,0,0,link5,0,0,1,100,1,-6.283185307179,6.283185307179,,,,,,,,
